price,freight_value,product_weight_g,product_length_cm,product_height_cm,product_width_cm,actual_delivery_days,delivery_delay_days,delivery_status
-0.8785026814038527,-1.3154775808825825,-0.15355067447388324,-0.6961713682301542,-0.5558359740796013,-1.047866104073956,8.0,0.6474898764565759,Early
0.711112939067328,1.322929387182924,-0.3536410406265744,-0.6961713682301542,0.0972633125929772,0.0013857126690174878,13.0,0.9381245649332342,On Time
1.4493855527908388,0.6576900234399111,-0.30941683654554347,-0.0183627833024138,0.6466677902840553,0.24409000595797786,9.0,-0.794521769902654,Early
-0.609534916064292,2.1572974027250065,-0.2473355865517662,0.5169818735894248,-0.2629046557856344,0.12744800374700413,13.0,-0.07539652707694657,On Time
-1.059307794813324,-1.3154775808825825,-0.7935817679883139,1.4468617840073206,0.3005816224211843,-0.6272106980321044,2.0,0.35778402204812654,Very Early
1.2343546944247676,2.187364718600397,1.8463737083202914,1.7486866789213025,-0.2629046557856344,2.203147021704573,16.0,0.9381245649332342,Somewhat Late
-0.3409255354886749,-0.1033889096559078,-2.5014957748410134,-1.2839272613442578,0.3938199677970748,-0.2844244650472767,9.0,0.06883378752401398,Early
-1.059307794813324,0.061981327658739455,-0.6198950231277203,0.8320287079608756,1.5974188029079595,-0.6272106980321044,9.0,-2.79528264095654,Early
1.2718059022568584,0.7610464217615657,2.038786305372097,1.1547573913337914,1.8564624068061892,1.5948278699363936,18.0,0.7926771491765301,Somewhat Late
0.35810394658302785,2.7830734143815694,1.9898504916651645,1.1547573913337914,-0.014371096189519521,1.4749596589768315,12.0,0.5025333232785808,On Time
0.35810394658302785,2.7830734143815694,1.9898504916651645,1.1547573913337914,-0.014371096189519521,1.4749596589768315,12.0,0.5025333232785808,On Time
0.3401847083858553,0.07701498559643433,-0.5448630251854374,-0.3897742919641451,0.7969385917311442,0.24409000595797786,5.0,-1.081368273670156,Somewhat Early
-0.844276936447253,0.47164850646093337,-0.2473355865517662,-1.2839272613442578,0.4822638118485024,-0.44759908054357994,12.0,-2.3677958660360865,On Time
-1.059307794813324,-0.5487610260601278,-1.011487965096981,-1.2839272613442578,-0.2629046557856344,-0.44759908054357994,4.0,0.5025333232785808,Somewhat Early
-0.730489773895207,0.07325657111201062,-0.01902910376234148,-0.5360094618515981,0.7969385917311442,0.12744800374700413,11.0,0.5025333232785808,On Time
0.9566065023685925,-0.31386012078364034,-1.3012359227575976,-0.5360094618515981,0.7234079684085848,0.12744800374700413,13.0,-0.07539652707694657,On Time
-0.9143411577981979,-0.11654336035139115,-0.6198950231277203,-1.0672453485757947,-1.3797360343864191,-1.2970498764652754,12.0,-1.2246427666892963,On Time
-1.0951462712076692,-0.7272857140702583,-0.7935817679883139,1.0732959883583217,-1.3797360343864191,1.0061653910776815,6.0,-0.2194796377394277,Somewhat Early
-0.05403853195194172,0.23486839394223383,-0.5448630251854374,-0.6961713682301542,-0.5558359740796013,0.35239784575063227,13.0,-0.3634255087998704,On Time
0.017459228454776828,-1.2797726432805565,-0.7935817679883139,-0.25570086552955484,-0.2629046557856344,-0.13538856580427744,4.0,0.35778402204812654,Somewhat Early
-1.245667872063919,-1.492123061650501,-1.011487965096981,0.0872054413145553,-0.7249642508335483,-0.44759908054357994,4.0,-0.07539652707694657,Somewhat Early
0.19503887898875738,-0.28379280490824993,0.005861852157654769,0.7166290667481781,0.0972633125929772,0.6358724496359653,4.0,1.2299646524135006,Somewhat Early
-0.5575691252924916,-0.5506402333023399,-1.011487965096981,-0.8723872884324484,-0.7249642508335483,-1.2970498764652754,9.0,0.7926771491765301,Early
1.7914638099748637,-0.3815115815032689,-0.6453989983405467,-1.0672453485757947,-0.5558359740796013,-1.2970498764652754,14.0,0.7926771491765301,On Time
-0.5378579632756016,-0.30446408457258106,1.2656234762354717,1.8136454419099013,-0.13398931279876278,-1.5795817487571433,22.0,1.0838701001129027,Very Late
0.10544268800289444,-0.06956317929609368,0.25013019749489823,0.9358054835146871,0.20196342263794909,1.3865721035261347,18.0,-0.07539652707694657,Somewhat Late
1.791643002356835,-1.1858122811699616,-0.2987301423642718,-0.0183627833024138,-0.014371096189519521,-0.44759908054357994,1.0,0.9381245649332342,Very Early
