price,freight_value,product_weight_g,product_length_cm,product_height_cm,product_width_cm,review_score,actual_delivery_days,delivery_delay_days
-0.8167224743178905,-0.9899252190054545,-0.3126898892935134,-0.7632415142765157,-0.6346923361691938,-1.0944564386818265,4.0,-0.4542334924133578,0.6480046917582981
0.14669147653282905,0.33538170600045997,-0.4956590606105471,-0.7632415142765157,-0.013297746978886952,-0.10347105184860361,4.0,0.313663670435654,0.9186061872004309
-0.6537099232834039,0.7544958617715608,-0.398436640187198,0.4013935044510178,-0.3538802650571303,0.0174083499542166,5.0,0.313663670435654,-0.0352536032388478
-0.06725570903541779,1.068831478599887,1.6398163899434242,1.0429621670239801,-0.1183201258565799,1.340450423052189,1.0,0.16008423786585163,0.5120486576418434
-0.06725570903541779,1.068831478599887,1.6398163899434242,1.0429621670239801,-0.1183201258565799,1.340450423052189,1.0,0.16008423786585163,0.5120486576418434
-0.7270167000644022,-0.29234557685490564,-0.1897393756528836,-0.6128017616391729,0.6342733505486248,0.0174083499542166,4.0,0.006504805296049275,0.5120486576418434
0.2954770827401885,-0.48679944191987584,-1.3635495327010299,-0.6128017616391729,0.5670608288246987,0.0174083499542166,5.0,0.313663670435654,-0.0352536032388478
-0.1660841043994302,-0.47169622909929565,-0.1669948646771545,0.5995780388116541,-0.013297746978886952,0.5095134675732967,5.0,-1.0685512226925673,1.1870391377112623
-0.15522384117261565,2.533843122196168,1.7477795839790409,1.002145597482964,1.5463065056484389,1.3823019746277563,1.0,0.16008423786585163,-2.6822106201991125
-0.713441371030884,2.533843122196168,-0.6076465462273751,0.4711439667290944,-0.3538802650571303,-1.326256126416359,1.0,0.16008423786585163,-2.6822106201991125
-0.6222151599256417,-0.6057372428819453,-1.0979401642467108,-0.927767375284114,-0.7984284234228741,-1.326256126416359,5.0,-0.3006540598435555,0.7835409286221233
2.7455524667095528,2.533843122196168,1.9632873281094374,1.1197086927139785,2.3705627239063047,0.9939036504378357,2.0,-0.4542334924133578,1.0531347628604697
0.8873614286015818,2.533843122196168,-1.7540156422950564,0.1656340421821309,-0.013297746978886952,-0.37599436352911386,1.0,1.0815608332846658,0.375713841697442
-0.220385420533503,-0.3640858377526617,0.05611777854586551,0.8198213202312877,0.08476645214663477,1.2516504186445305,5.0,1.0815608332846658,-0.0352536032388478
-0.2953212367985235,0.919687251996657,0.10209823155750013,2.0156041580195123,0.5670608288246987,0.0174083499542166,5.0,2.9245140241222938,1.7125040832229896
-0.7090972657401581,0.7252333869316868,0.36115966176502523,-0.6128017616391729,-0.3538802650571303,0.0174083499542166,4.0,1.3887196984242705,-0.44869334026706276
2.7455524667095528,2.533843122196168,-0.06549548098917742,0.32749869277031834,0.1767538640365903,0.2342010100063693,5.0,0.9279814007148635,-2.260532982280389
0.16070121609541974,2.533843122196168,1.4126137605280664,-0.6128017616391729,0.5670608288246987,0.0174083499542166,5.0,0.006504805296049275,0.10203678411778129
0.36715482003716454,-0.4235547382336962,1.6320118347952488,0.959552869184438,0.08476645214663477,1.4988611767580078,1.0,-0.1470746272737531,0.2390338621102597
-0.7742588451010455,-0.0818445481680688,0.3261088696920998,0.1656340421821309,-0.1183201258565799,-0.37599436352911386,5.0,-1.0685512226925673,0.2390338621102597
-0.49080597488118555,-0.3480386741307952,-1.7540156422950564,-0.6128017616391729,-0.23139075122573136,-1.5876115757102454,1.0,-0.9149717901227649,-0.44869334026706276
-0.49080597488118555,-0.3480386741307952,-1.7540156422950564,-0.6128017616391729,-0.23139075122573136,-1.5876115757102454,1.0,-0.9149717901227649,-0.44869334026706276
2.7455524667095528,-0.17718357909798158,-0.5082396625186963,-1.1085493403187072,-0.23139075122573136,-0.8870946899176201,4.0,1.2351402658544681,-0.0352536032388478
-0.72538766058038,-0.694468618202854,0.1855346138607967,-0.6128017616391729,1.3538213796733187,0.0174083499542166,5.0,-1.0685512226925673,-0.44869334026706276
0.15972379240500653,-0.984261514197737,-0.4956590606105471,-0.7632415142765157,-0.013297746978886952,-0.10347105184860361,5.0,-0.6078129249831602,-1.9800581396310144
-0.8927443169055924,0.3438772632120363,-1.3635495327010299,-0.7632415142765157,-1.4438942507614336,-1.5876115757102454,1.0,2.00303742870348,1.8388593375328433
-0.8927443169055924,0.3438772632120363,-1.3635495327010299,-0.7632415142765157,-1.4438942507614336,-1.5876115757102454,1.0,2.00303742870348,1.8388593375328433
-0.220385420533503,-0.4575369670800018,0.3569569051337446,0.959552869184438,0.1767538640365903,0.8730374001708334,1.0,1.8494579961336777,2.573080298650347
0.14994955550087338,0.543994833084724,1.4589758867771925,-0.6128017616391729,0.5670608288246987,0.0174083499542166,4.0,-1.375710087832172,-1.142145315091553
1.018770613646038,-1.518537667725762,1.816987636504271,0.959552869184438,0.8767068235067395,1.9132049264406448,4.0,-1.375710087832172,-1.142145315091553
